TEMPERATURA TRIAC COOLER WINDOW
0.0 91.0 16.666666666666664 7.666666666666669
0.1 90.30171678214273 16.85146667822514 7.868758608550406
0.2 89.62948046717678 17.033957282907842 8.066889196384938
0.3 88.98187580469447 17.214193102199424 8.261184362277003
0.4 88.35758835758838 17.392227162534734 8.451764877377208
0.5 87.75539568345326 17.56811095507455 8.638746615303024
0.6 87.17415942576503 17.74678030019784 8.822240799620404
0.7 86.61281820718739 17.92330761725292 9.002354236498917
0.8 86.07038123167158 18.09774285360865 9.179189533566829
0.9 85.54592251422379 18.270134538266184 9.35284530591285
1.0 85.03857566765579 18.440529833964835 9.523416370106778
1.1 84.54731824587581 18.61348487155933 9.691509883489871
1.2 84.07116446393876 18.784450603654474 9.860047359353935
1.3 83.60938180575921 18.953472835830176 10.025609007759575
1.4 83.16128403940517 19.120596108613498 10.188282497776004
1.5 82.72622761409589 19.285863743092722 10.348152201142362
1.6 82.30360838854516 19.453472429584096 10.505299347452492
1.7 81.89285865563564 19.61923162154587 10.659802170685312
1.8 81.49344443257489 19.783183440413413 10.81173604763988
1.9 81.10486298930037 19.94536887622437 10.96117362879245
2.0 80.72664059104738 20.105827827708698 11.1081849620558
2.1 80.35833043373671 20.268415883135614 11.252837609886253
2.2 79.9995107532362 20.42928283179477 11.395947427462652
2.3 79.6497830916475 20.588467506201834 11.538878851289557
2.4 79.3087707056107 20.746007724500146 11.679525352174783
2.5 78.9761171032358 20.90194032582827 11.81794994802911
2.6 78.65148469769412 21.05979644290087 11.954213466811364
2.7 78.33455356675883 21.21604969322766 12.088374642352692
2.8 78.02502030869213 21.370735963174365 12.220490205220354
2.9 77.72259698585967 21.52389022762268 12.350614968918245
3.0 77.42701014832164 21.675546581282855 12.478801911701932
3.1 77.13799993042431 21.828926843676 12.605102254266713
3.2 76.85531921410089 21.980813429175186 12.729565533550215
3.3 76.57873285320417 22.131239576456373 12.853026820386564
3.4 76.30801695373795 22.28023770352522 12.975907449982417
3.5 76.04295820534303 22.427839435531826 13.097003109740648
3.6 75.78335325982671 22.57697107924747 13.21636031343245
3.7 75.52900815291936 22.72471013390171 13.33402407353932
3.8 75.27973776578773 22.871087451327977 13.450037962771878
3.9 75.03536532315184 23.01613314314226 13.564444172614191
4.0 74.79572192513369 23.15987660553031 13.6772835690609
4.1 74.56064611022134 23.304961231655117 13.788595745703168
4.2 74.32998344696011 23.44874707654866 13.898419074310405
4.3 74.10358615219235 23.591262833968614 14.0067907530447
4.4 73.88131273384963 23.732536528980944 14.114425220137221
4.5 73.66302765647744 23.872595540115668 14.22124870362429
4.6 73.44860102781628 24.013811867115322 14.32665878232689
4.7 73.23790830491264 24.153816655728686 14.430690557206338
4.8 73.03083001834959 24.29263664291974 14.533378072898056
4.9 72.82725151330817 24.430297960761987 14.634754358513627
5.0 72.6270627062706 24.566826156299854 14.73485146659171
5.1 72.43015785627446 24.70433238391695 14.833700510295136
5.2 72.23643534970903 24.840708374827134 14.931331698946478
5.3 72.04579749772948 24.975979086830947 15.027774371988093
5.4 71.85815034542982 25.11016892993034 15.123057031448788
5.5 71.67340349198753 25.24330178418222 15.217666575908327
5.6 71.49146992104829 25.377237628132956 15.311371773635207
5.7 71.31226584067569 25.5101191416188 15.40394606853841
5.8 71.13571053224233 25.641969660467797 15.495416448743129
5.9 70.9617262076833 25.772812023950966 15.585809143060315
6.0 70.79023787457517 25.90266859087431 15.67514964880356
6.1 70.62117320854483 26.033157037170188 15.763462758416367
6.2 70.45446243254464 26.16266214236092 15.850772584969777
6.3 70.29003820256763 26.29120575975536 15.937102586585945
6.4 70.12783549940266 26.418809292228623 16.022475589840997
6.5 69.9677915260593 26.54549370676219 16.106913812196492
6.6 69.80984561051852 26.672642526086747 16.19059207878354
6.7 69.65393911348811 26.798874497294623 16.273383946831277
6.8 69.50001534086212 26.924210115174127 16.35526393881959
6.9 69.34801946060782 27.04866946570807 16.43625313670908
7.0 69.19789842381789 27.172272239243693 16.51637206702755
7.1 69.04960088968639 27.29617529497851 16.595640720282653
7.2 68.90307715418125 27.41922386934245 16.674078569590147
7.3 68.75827908220019 27.541437209080662 16.751704588554624
7.4 68.61516004301372 27.662834189800655 16.828537268438545
7.5 68.47367484880824 27.783433327928204 16.904594634652423
7.6 68.33377969615601 27.904171705829505 16.979894262598254
7.7 68.19543211024951 28.02411416905804 17.05422983872854
7.8 68.05859089174693 28.14327881491631 17.12778927422347
7.9 67.92321606608738 28.261683403734853 17.200609536164706
8.0 67.78926883514038 28.379345369751206 17.272707316180252
8.1 67.6567115310633 28.496988352675036 17.344098893858707
8.2 67.52550757225049 28.613890475282428 17.414800150570223
8.3 67.39562142126157 28.730068773557452 17.484826582758327
8.4 67.26701854462398 28.84553997757188 17.554193314726856
8.5 67.13966537441338 28.960320521405293 17.622915110944188
8.6 67.01352927151747 29.074926428676424 17.691006387887157
8.7 66.88857849049775 29.188843271467373 17.758454310194896
8.8 66.76478214596702 29.302087103290045 17.824693935012338
8.9 66.64211018040376 29.414673700038374 17.89031887242492
9.0 66.52053333333332 29.526618569053838 17.955342809014464
9.1 66.40002311180533 29.6382354769086 18.019779111948058
9.2 66.28055176210283 29.749212081441726 18.08364083936769
9.3 66.16209224262272 29.85956352428528 18.146940750399484
9.4 66.04461819786874 29.96930469527851 18.209691314799997
9.5 65.92810393350342 30.078450240768827 18.271904722254586
9.6 65.81252439240728 30.18711659766089 18.33359289134355
9.7 65.69785513169495 30.295188574886033 18.394767478189607
9.8 65.58407230064466 30.402680465414026 18.455271748205185
9.9 65.47115261949584 30.509606334033545 18.514474441919266
10.0 65.35907335907329 30.61598002496882 18.573177022274315
10.1 65.24781232119994 30.72172517330328 18.631390538082123
10.2 65.13734781985966 30.826919201438187 18.689125796905557
10.3 65.02765866307665 30.93157561027665 18.74639337267887
10.4 64.91872413547671 31.035707694162753 18.80320361306359
10.5 64.81052398149912 31.13932854788237 18.8595666465512
10.6 64.70303838922918 31.24217316186423 18.915492389322814
10.7 64.59624797482356 31.344507402768578 18.97099055187656
10.8 64.49013376749977 31.446344030052806 19.026070645431986
10.9 64.38467719506603 31.54769561644058 19.08035240684895
11.0 64.27986006996504 31.648574554368253 19.13333369845342
11.1 64.17566457581032 31.748531002050978 19.185908580392695
11.2 64.07207325439195 31.848015443817697 19.238086042430997
11.3 63.969068993130165 31.947039942879876 19.289874891137487
11.4 63.866635012958234 32.045616393912084 19.34128375554606
